,vehicle_lane,lon,lat,timestep,mobility_mode,vehicle_noise,vehicle_CO,vehicle_CO2,vehicle_HC,vehicle_NOx,vehicle_PMx,amount
46,-101154827,24.92771090737302,60.16258061095071,23,electric,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,-101154827,24.92771090737302,60.16258061095071,23,fuel,72.2703964454483,2063.78,29544.28,483.8,213.92000000000002,3.52,15.0
48,-101154827,24.92771090737302,60.16258061095071,24,electric,73.7032078776875,0.0,0.0,0.0,0.0,2.7800000000000002,21.0
49,-101154827,24.92771090737302,60.16258061095071,24,fuel,76.31399403854816,4668.63,79993.75,1025.27,665.92,7.63,33.0
50,-101154827,24.92771090737302,60.16258061095071,25,electric,68.91687500355935,0.0,0.0,0.0,0.0,0.95,6.0
51,-101154827,24.92771090737302,60.16258061095071,25,fuel,72.64818546908926,2351.15,38988.78,578.0,263.11,3.18,20.0
52,-101154827,24.92771090737302,60.16258061095071,26,electric,70.66590583433278,0.0,0.0,0.0,0.0,1.74,10.0
53,-101154827,24.92771090737302,60.16258061095071,26,fuel,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,-101154827,24.92771090737302,60.16258061095071,27,electric,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,-101154827,24.92771090737302,60.16258061095071,27,fuel,73.48417380229436,2111.28,37507.630000000005,437.55,335.36,3.59,16.0
56,-101154827,24.92771090737302,60.16258061095071,28,electric,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,-101154827,24.92771090737302,60.16258061095071,28,fuel,74.3671068167155,3306.77,67167.1,813.78,476.71,3.63,26.0
58,-101154827,24.92771090737302,60.16258061095071,29,electric,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,-101154827,24.92771090737302,60.16258061095071,29,fuel,72.78321557603704,1551.71,26041.0,305.48,240.63,2.83,18.0
60,-101154827,24.92771090737302,60.16258061095071,30,electric,75.0631985553913,0.0,0.0,0.0,0.0,4.44,27.0
61,-101154827,24.92771090737302,60.16258061095071,30,fuel,74.01888134846945,2827.29,53607.45,656.9399999999999,405.48,3.77,20.0
62,-101154827,24.92771090737302,60.16258061095071,31,electric,69.39100767118164,0.0,0.0,0.0,0.0,1.68,8.0
63,-101154827,24.92771090737302,60.16258061095071,31,fuel,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,-101154827,24.92771090737302,60.16258061095071,32,electric,76.02080013597508,0.0,0.0,0.0,0.0,6.31,35.0
65,-101154827,24.92771090737302,60.16258061095071,32,fuel,75.98458303881243,4092.43,69856.07,893.4399999999999,583.39,6.66,33.0
66,-101154827,24.92771090737302,60.16258061095071,33,electric,51.05,0.0,0.0,0.0,0.0,0.0,1.0
67,-101154827,24.92771090737302,60.16258061095071,33,fuel,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68,-101154827,24.92771090737302,60.16258061095071,34,electric,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69,-101154827,24.92771090737302,60.16258061095071,34,fuel,72.29870102463215,1750.4,24173.25,391.25,193.57999999999998,3.38,13.0
70,-101154827,24.92771090737302,60.16258061095071,35,electric,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71,-101154827,24.92771090737302,60.16258061095071,35,fuel,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,-101154827,24.92771090737302,60.16258061095071,36,electric,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,-101154827,24.92771090737302,60.16258061095071,36,fuel,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,-101154827,24.92771090737302,60.16258061095071,37,electric,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75,-101154827,24.92771090737302,60.16258061095071,37,fuel,61.232146255050836,203.81,4327.65,62.29,13.76,0.02,2.0
76,-101154827,24.92771090737302,60.16258061095071,38,electric,0.0,0.0,0.0,0.0,0.0,0.0,0.0
